Restaurant Name,Restaurant Rating,Restaurant Address,Contact No.,Cuisine,Opening Hours,Google Reviews
"Sarangi Vegetarian Restaurant
",4.1,"Shiva Complex, Kathmandu 44600",Not Provided,Vegetarian restaurant,"Friday	11AM–10PM
Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
","96 Google reviews
"
"Krisharpan Nepali Restaurant
",4.4,"Battisputali Rd, Kathmandu 44600",01-4479488,Not Provided,"Friday	6–10PM
Saturday	6–10PM
Sunday	6–10PM
Monday	6–10PM
Tuesday	6–10PM
Wednesday	6–10PM
Thursday	6–10PM
","13 Google reviews
"
"Kathmandu Kitchen Restaurant
",4.4,"Thamel Marg, Kathmandu 44600",01-4413355,Not Provided,"Friday	9AM–10PM
Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
","34 Google reviews
"
"Rosemary Kitchen And Coffee Shop
",4.4,"Thamel Marg, Kathmandu 44601",01-4267554,Restaurant,"Friday	7:30AM–10PM
Saturday	7:30AM–10PM
Sunday	7:30AM–10PM
Monday	7:30AM–10:30PM
Tuesday	7:30AM–10PM
Wednesday	7:30AM–10PM
Thursday	7:30AM–10PM
","435 Google reviews
"
"Blueberry Kitchen & Coffee Shop
",4.4,"Paknajol Marg, Kathmandu 44600",01-4216959,Not Provided,"Friday	7AM–10PM
Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
","250 Google reviews
"
"Atithi Satkar Nepali Restaurant
",4.2,"Amrit Marg, Kathmandu 44600",01-4221865,Nepalese restaurant,"Friday	10AM–9PM
Saturday	10AM–9PM
Sunday	10AM–9PM
Monday	10AM–9PM
Tuesday	10AM–9PM
Wednesday	10AM–9PM
Thursday	10AM–9PM
","66 Google reviews
"
"Dalbhat Nepali kitchen
",4.1,"Lazimpat Rd, Kathmandu 44600",01-4410077,Not Provided,"Friday	9:30AM–10PM
Saturday	9:30AM–10PM
Sunday	9:30AM–10PM
Monday	9:30AM–10PM
Tuesday	9:30AM–10PM
Wednesday	9:30AM–10PM
Thursday	9:30AM–10PM
","121 Google reviews
"
"The Old House Pvt. Ltd.
",4.2,"Durbar Marg, Kathmandu 44600",01-4250931,Restaurant,"Friday	10AM–11PM
Saturday	10AM–11PM
Sunday	10AM–11PM
Monday	10AM–11PM
Tuesday	10AM–11PM
Wednesday	10AM–11PM
Thursday	10AM–11PM
","166 Google reviews
"
"Nepal Connection
",4.4,"Mandala Street, Sagarmatha Bazzar, Thamel, Kathmandu 44600",986-5052064,Not Provided,"Friday	9AM–9PM
Saturday	9AM–9PM
Sunday	9AM–9PM
Monday	9AM–9PM
Tuesday	9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
","80 Google reviews
"
"Typical Nepali Kitchen Pvt. Ltd.
",2.6,"Amrit Marg, Kathmandu 44600",01-4233128,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","7 Google reviews
"
"Nepali Tapas Bar
",4.3,"Chaksibari Marg, Kathmandu 44600",01-2299408,Not Provided,"Friday	7:30AM–11:30PM
Saturday	7:30AM–11:30PM
Sunday	7:30AM–11:30PM
Monday	7:30AM–11:30PM
Tuesday	7:30AM–11:30PM
Wednesday	7:30AM–11:30PM
Thursday	7:30AM–11:30PM
","3 Google reviews
"
"Satkaar Restaurant
",3.9,"Amrit Marg, Kathmandu 44600",01-4413724,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","36 Google reviews
"
"Nepali Chulo Authentic Restaurant and Banquet
",4.0,"Lazimpat , Behind Hotel Gangjong, Kathmandu 44600",01-4418206,Nepalese restaurant,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","200 Google reviews
"
"REEF Restaurant and Lounge Bar
",4.1,"5F, A1 Business complex, Thamel Marg, Kathmandu 44600",01-4411523,Not Provided,"Friday	7AM–12AM
Saturday	7AM–12AM
Sunday	7AM–12AM
Monday	7AM–12AM
Tuesday	7AM–12AM
Wednesday	7AM–12AM
Thursday	7AM–12AM
","547 Google reviews
"
"Le Sherpa Restaurant
",4.2,"Le Sherpa Farmers Market (Opposite of President's House, Kathmandu 44600",01-4428604,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","203 Google reviews
"
"Gorkha Palace Restaurant & Bar
",3.7,"Tridevi Marg, Thamel, Nepal, Kathmandu, Nepal 44607",01-4417095,Not Provided,"Friday	4:30AM–11PM
Saturday	4:30AM–11PM
Sunday	4:30AM–11PM
Monday	4:30AM–11PM
Tuesday	4:30AM–11PM
Wednesday	4:30AM–11PM
Thursday	4:30AM–11PM
","22 Google reviews
"
"Japanese Kitchen Kizuna
",4.4,"Thamel Square, Chaksibari Marg, Kathmandu 44600",981-8970583,Not Provided,"Friday	10AM–8PM
Saturday	Closed
Sunday	10AM–8PM
Monday	10AM–8PM
Tuesday	10AM–8PM
Wednesday	10AM–8PM
Thursday	10AM–8PM
","99 Google reviews
"
"Western Tandoori & Naan House
",4.5,"Amrit Marg, Kathmandu 44600",981-6130338,Barbecue restaurant,"Friday	9AM–9PM
Saturday	4:30–9PM
Sunday	9AM–9PM
Monday	9AM–9PM
Tuesday	9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
","336 Google reviews
"
